pokemon_name,id,BST,gen_num,classification
tapu-bulu,787,570,Gen 7,legendary
tapu-fini,788,570,Gen 7,legendary
cosmog,789,200,Gen 7,legendary
nihilego,793,570,Gen 7,standard
buzzwole,794,570,Gen 7,standard
pheromosa,795,570,Gen 7,standard
xurkitree,796,570,Gen 7,standard
celesteela,797,570,Gen 7,standard
kartana,798,570,Gen 7,standard
guzzlord,799,570,Gen 7,standard
necrozma,800,600,Gen 7,legendary
magearna,801,600,Gen 7,mythical
marshadow,802,600,Gen 7,mythical
poipole,803,420,Gen 7,standard
stakataka,805,570,Gen 7,standard
blacephalon,806,570,Gen 7,standard
zeraora,807,600,Gen 7,mythical
meltan,808,300,Gen 7,mythical
silvally,773,570,Gen 7,legendary
hakamo-o,783,420,Gen 7,standard
kommo-o,784,600,Gen 7,standard
cosmoem,790,400,Gen 7,legendary
solgaleo,791,680,Gen 7,legendary
lunala,792,680,Gen 7,legendary
naganadel,804,540,Gen 7,standard
melmetal,809,600,Gen 7,mythical
brionne,729,420,Gen 7,standard
tsareena,763,510,Gen 7,standard
golisopod,768,530,Gen 7,standard
palossand,770,480,Gen 7,standard
grookey,810,310,Gen 8,standard
scorbunny,813,310,Gen 8,standard
sobble,816,310,Gen 8,standard
skwovet,819,275,Gen 8,standard
rookidee,821,245,Gen 8,standard
blipbug,824,180,Gen 8,standard
nickit,827,245,Gen 8,standard
gossifleur,829,250,Gen 8,standard
wooloo,831,270,Gen 8,standard
chewtle,833,284,Gen 8,standard
yamper,835,270,Gen 8,standard
rolycoly,837,240,Gen 8,standard
applin,840,260,Gen 8,standard
thwackey,811,420,Gen 8,standard
rillaboom,812,530,Gen 8,standard
raboot,814,420,Gen 8,standard
cinderace,815,530,Gen 8,standard
drizzile,817,420,Gen 8,standard
inteleon,818,530,Gen 8,standard
greedent,820,460,Gen 8,standard
corvisquire,822,365,Gen 8,standard
corviknight,823,495,Gen 8,standard
dottler,825,335,Gen 8,standard
thievul,828,455,Gen 8,standard
eldegoss,830,460,Gen 8,standard
dubwool,832,490,Gen 8,standard
drednaw,834,485,Gen 8,standard
boltund,836,490,Gen 8,standard
carkol,838,410,Gen 8,standard
coalossal,839,510,Gen 8,standard
flapple,841,485,Gen 8,standard
silicobra,843,315,Gen 8,standard
cramorant,845,475,Gen 8,standard
arrokuda,846,280,Gen 8,standard
toxel,848,242,Gen 8,standard
sizzlipede,850,305,Gen 8,standard
clobbopus,852,310,Gen 8,standard
sinistea,854,308,Gen 8,standard
hatenna,856,265,Gen 8,standard
impidimp,859,265,Gen 8,standard
milcery,868,270,Gen 8,standard
falinks,870,470,Gen 8,standard
pincurchin,871,435,Gen 8,standard
snom,872,185,Gen 8,standard
stonjourner,874,470,Gen 8,standard
eiscue-ice,875,470,Gen 8,standard
indeedee-male,876,475,Gen 8,standard
morpeko-full-belly,877,436,Gen 8,standard
cufant,878,330,Gen 8,standard
dracozolt,880,505,Gen 8,standard
arctozolt,881,505,Gen 8,standard
dracovish,882,505,Gen 8,standard
arctovish,883,505,Gen 8,standard
duraludon,884,535,Gen 8,standard
dreepy,885,270,Gen 8,standard
zacian,888,660,Gen 8,legendary
zamazenta,889,660,Gen 8,legendary
eternatus,890,690,Gen 8,legendary
kubfu,891,385,Gen 8,legendary
zarude,893,600,Gen 8,mythical
regieleki,894,580,Gen 8,legendary
regidrago,895,580,Gen 8,legendary
glastrier,896,580,Gen 8,legendary
spectrier,897,580,Gen 8,legendary
calyrex,898,500,Gen 8,legendary
enamorus-incarnate,905,580,Gen 8,legendary
sandaconda,844,510,Gen 8,standard
barraskewda,847,490,Gen 8,standard
toxtricity-amped,849,502,Gen 8,standard
centiskorch,851,525,Gen 8,standard
grapploct,853,480,Gen 8,standard
polteageist,855,508,Gen 8,standard
hattrem,857,370,Gen 8,standard
hatterene,858,510,Gen 8,standard
morgrem,860,370,Gen 8,standard
obstagoon,862,520,Gen 8,standard
perrserker,863,440,Gen 8,standard
cursola,864,510,Gen 8,standard
sirfetchd,865,507,Gen 8,standard
mr-rime,866,520,Gen 8,standard
runerigus,867,483,Gen 8,standard
alcremie,869,495,Gen 8,standard
frosmoth,873,475,Gen 8,standard
copperajah,879,500,Gen 8,standard
drakloak,886,410,Gen 8,standard
dragapult,887,600,Gen 8,standard
urshifu-single-strike,892,550,Gen 8,legendary
wyrdeer,899,525,Gen 8,standard
kleavor,900,500,Gen 8,standard
basculegion-male,902,530,Gen 8,standard
sneasler,903,510,Gen 8,standard
overqwil,904,510,Gen 8,standard
orbeetle,826,505,Gen 8,standard
appletun,842,485,Gen 8,standard
grimmsnarl,861,510,Gen 8,standard
ursaluna,901,550,Gen 8,standard
nymble,919,210,Gen 9,standard
sprigatito,906,310,Gen 9,standard
fuecoco,909,310,Gen 9,standard
quaxly,912,310,Gen 9,standard
lechonk,915,254,Gen 9,standard
tarountula,917,210,Gen 9,standard
floragato,907,410,Gen 9,standard
meowscarada,908,530,Gen 9,standard
crocalor,910,411,Gen 9,standard
skeledirge,911,530,Gen 9,standard
quaxwell,913,410,Gen 9,standard
quaquaval,914,530,Gen 9,standard
oinkologne-male,916,489,Gen 9,standard
spidops,918,404,Gen 9,standard
pawmi,921,240,Gen 9,standard
tandemaus,924,305,Gen 9,standard
fidough,926,312,Gen 9,standard
smoliv,928,260,Gen 9,standard
squawkabilly-green-plumage,931,417,Gen 9,standard
nacli,932,280,Gen 9,standard
charcadet,935,255,Gen 9,standard
tadbulb,938,272,Gen 9,standard
wattrel,940,280,Gen 9,standard
maschiff,942,340,Gen 9,standard
shroodle,944,290,Gen 9,standard
bramblin,946,275,Gen 9,standard
toedscool,948,335,Gen 9,standard
klawf,950,450,Gen 9,standard
capsakid,951,304,Gen 9,standard
rellor,953,270,Gen 9,standard
flittle,955,255,Gen 9,standard
tinkatink,957,297,Gen 9,standard
wiglett,960,245,Gen 9,standard
bombirdier,962,485,Gen 9,standard
finizen,963,315,Gen 9,standard
varoom,965,300,Gen 9,standard
cyclizar,967,501,Gen 9,standard
orthworm,968,480,Gen 9,standard
glimmet,969,350,Gen 9,standard
greavard,971,290,Gen 9,standard
flamigo,973,500,Gen 9,standard
cetoddle,974,334,Gen 9,standard
veluza,976,478,Gen 9,standard
dondozo,977,530,Gen 9,standard
tatsugiri-curly,978,475,Gen 9,standard
great-tusk,984,570,Gen 9,standard
scream-tail,985,570,Gen 9,standard
brute-bonnet,986,570,Gen 9,standard
flutter-mane,987,570,Gen 9,standard
slither-wing,988,570,Gen 9,standard
sandy-shocks,989,570,Gen 9,standard
iron-treads,990,570,Gen 9,standard
iron-bundle,991,570,Gen 9,standard
iron-hands,992,570,Gen 9,standard
iron-jugulis,993,570,Gen 9,standard
iron-moth,994,570,Gen 9,standard
iron-thorns,995,570,Gen 9,standard
frigibax,996,320,Gen 9,standard
pawmo,922,350,Gen 9,standard
pawmot,923,490,Gen 9,standard
maushold-family-of-four,925,470,Gen 9,standard
dachsbun,927,477,Gen 9,standard
dolliv,929,354,Gen 9,standard
naclstack,933,355,Gen 9,standard
garganacl,934,500,Gen 9,standard
armarouge,936,525,Gen 9,standard
ceruledge,937,525,Gen 9,standard
bellibolt,939,495,Gen 9,standard
kilowattrel,941,490,Gen 9,standard
mabosstiff,943,505,Gen 9,standard
grafaiai,945,485,Gen 9,standard
brambleghast,947,480,Gen 9,standard
toedscruel,949,515,Gen 9,standard
scovillain,952,486,Gen 9,standard
rabsca,954,470,Gen 9,standard
espathra,956,481,Gen 9,standard
tinkatuff,958,380,Gen 9,standard
tinkaton,959,506,Gen 9,standard
wugtrio,961,425,Gen 9,standard
palafin-zero,964,457,Gen 9,standard
glimmora,970,525,Gen 9,standard
houndstone,972,488,Gen 9,standard
cetitan,975,521,Gen 9,standard
annihilape,979,535,Gen 9,standard
clodsire,980,430,Gen 9,standard
farigiraf,981,520,Gen 9,standard
dudunsparce-two-segment,982,520,Gen 9,standard
kingambit,983,550,Gen 9,standard
gimmighoul,999,300,Gen 9,standard
wo-chien,1001,570,Gen 9,legendary
chien-pao,1002,570,Gen 9,legendary
ting-lu,1003,570,Gen 9,legendary
chi-yu,1004,570,Gen 9,legendary
roaring-moon,1005,590,Gen 9,standard
iron-valiant,1006,590,Gen 9,standard
koraidon,1007,670,Gen 9,legendary
miraidon,1008,670,Gen 9,legendary
walking-wake,1009,590,Gen 9,standard
iron-leaves,1010,590,Gen 9,standard
poltchageist,1012,308,Gen 9,standard
okidogi,1014,555,Gen 9,legendary
munkidori,1015,555,Gen 9,legendary
fezandipiti,1016,555,Gen 9,legendary
ogerpon,1017,550,Gen 9,legendary
gouging-fire,1020,590,Gen 9,standard
raging-bolt,1021,590,Gen 9,standard
iron-boulder,1022,590,Gen 9,standard
iron-crown,1023,590,Gen 9,standard
terapagos,1024,450,Gen 9,legendary
pecharunt,1025,600,Gen 9,mythical
gholdengo,1000,550,Gen 9,standard
dipplin,1011,485,Gen 9,standard
sinistcha,1013,508,Gen 9,standard
archaludon,1018,600,Gen 9,standard
hydrapple,1019,540,Gen 9,standard
lokix,920,450,Gen 9,standard
arboliva,930,510,Gen 9,standard
revavroom,966,500,Gen 9,standard
arctibax,997,423,Gen 9,standard
baxcalibur,998,600,Gen 9,standard
